City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,sitka,57.0531,-135.33,2.94,52,20,4.12,US,1698028434
208,susuman,62.7833,148.1667,-10.47,92,85,0.8,RU,1698028400
209,togur,58.3631,82.8265,1.06,98,100,3.75,RU,1698028543
210,san luis de la loma,17.2706,-100.8939,25.69,88,86,1.62,MX,1698028543
211,tucumcari,35.1717,-103.725,24.41,30,0,4.12,US,1698028543
212,ulsteinvik,62.3432,5.8487,9.06,70,54,2.24,NO,1698028543
213,mersing,2.4312,103.8405,25.95,94,40,1.54,MY,1698028544
214,polyarnyy,69.1989,33.4478,0.65,78,100,8.67,RU,1698028469
215,bilibino,68.0546,166.4372,-5.27,94,98,1.36,RU,1698028544
216,el reno,35.5323,-97.955,22.62,68,41,7.2,US,1698028338
217,tsetserleg,47.475,101.4542,7.84,32,17,1.81,MN,1698028544
218,taikang,46.8333,124.4167,14.53,33,0,7.68,CN,1698028545
219,taroudant,30.4703,-8.877,18.15,78,97,0.86,MA,1698028545
220,yerofey pavlovich,53.9667,121.9667,2.74,47,100,0.83,RU,1698028545
221,alice springs,-23.7,133.8833,33.75,11,2,5.66,AU,1698028545
222,port kembla,-34.4667,150.9,29.03,40,8,4.3,AU,1698028545
223,nago,26.5881,127.9761,28.47,63,82,4.62,JP,1698028546
224,ikalamavony,-21.15,46.5833,22.28,49,94,0.89,MG,1698028546
225,fortuna,40.5982,-124.1573,14.96,96,100,4.63,US,1698028546
226,nova sintra,14.8667,-24.7167,23.76,76,16,2.68,CV,1698028546
227,isafjordur,66.0755,-23.124,3.6,80,99,1.65,IS,1698028547
228,kimbe,-5.5502,150.1429,28.99,79,92,2.29,PG,1698028547
229,saint-philippe,-21.3585,55.7679,20.77,77,4,4.7,RE,1698028547
230,zaranj,30.9667,61.8833,15.98,26,9,3.68,AF,1698028547
231,chonchi,-42.6128,-73.8092,8.56,96,9,1.85,CL,1698028293
232,sarlat-la-caneda,44.889,1.2166,12.71,93,100,1.75,FR,1698028548
233,pisco,-13.7,-76.2167,20.01,94,100,6.17,PE,1698028548
